./floortile-generator.py <name> <num_rows> <num_columns> <num_robots> <mode_flag(seq|time)> [<seed>]
p579.pddl p579.pddl 5 7 5 seq 7
p580.pddl p580.pddl 5 7 5 seq 8
p581.pddl p581.pddl 5 7 5 seq 9
p582.pddl p582.pddl 5 7 5 seq 10
p583.pddl p583.pddl 5 8 5 seq 0
p584.pddl p584.pddl 5 8 5 seq 1
p585.pddl p585.pddl 5 8 5 seq 2
p586.pddl p586.pddl 5 8 5 seq 3
p587.pddl p587.pddl 5 8 5 seq 4
p588.pddl p588.pddl 5 8 5 seq 5
p589.pddl p589.pddl 5 8 5 seq 6
p590.pddl p590.pddl 5 8 5 seq 7
p591.pddl p591.pddl 5 8 5 seq 8
p592.pddl p592.pddl 5 8 5 seq 9
p593.pddl p593.pddl 5 8 5 seq 10
